epoch,loss,mAP
0,7.359381360902912,0.0017611992762061352
1,8.516938044984641,4.449263633556258e-05
2,8.5734114246245,0.00019282869643827026
3,11.642813433936654,0.00020357378984376347
4,6.1830442863819295,4.264767539097499e-06
5,6.176329266191951,1.191890295382351e-05
6,5.9938255595698635,0.00015275964899207891
7,5.904308037502341,0.0003683965010616449
8,5.8165963927228415,0.00012704010661890249
9,5.79388318969676,7.460977030562074e-05
10,5.803586430747666,0.00012456749449160268
11,5.790244718855771,9.367140418674282e-05
12,5.778142877015781,8.384038002050876e-05
13,5.798939860058272,9.532145451313822e-05
14,5.773668136922345,6.763988611619895e-05
15,5.775286973963776,7.677679201543212e-05
16,5.776496151073089,9.70352836097485e-05
17,5.769877428030712,8.306366491899225e-05
18,5.7866590350220495,8.075866583386255e-05
19,5.780178347032893,6.578291637994242e-05
20,5.767984842610713,6.97123831001073e-05
21,5.772417546499172,8.978673460922902e-05
22,5.779379493996623,6.508590399004506e-05
23,5.785471821241693,6.401123330103582e-05
24,5.781584811319351,7.66411173402362e-05
25,5.776850868714769,9.15107530146693e-05
26,5.783004437176172,0.00010658591960842193
27,5.76738166649963,0.00011794954694313189
28,5.779285833483988,7.709609446788696e-05
29,5.771053066527744,5.314835103164176e-05
30,5.77046326483454,0.000119561164915397
31,5.776595870385146,0.00010827855292932735
32,5.777044616387422,5.9129099420629494e-05
33,5.787907951928971,7.775942785703254e-05
34,5.801856016796247,5.575069740141827e-05
